"from","to","n"
"Chaves, J.R.","La Gruta",1
"Chen Jitong","Revista Literaria. Publicación Mensual",1
"Chénier, André","Trofeos",1
"Claretie, Jules","Revista Moderna. (Enciclopedia colombiana)",1
"Claussen, Sophus","Panida",1
"Clavijo Durán, Antonio","Revista Literaria. Publicación Mensual",1
"Cobban, J. MacLaren ","Revista Literaria. Publicación Mensual",1
"Coll, Pedro Emilio ","Revista Moderna. (Enciclopedia colombiana)",1
"Collas, Louis-Charles ","Revista Literaria. Publicación Mensual",1
"Colorado, Vicente","Revista Literaria. Publicación Mensual",1
"Colín, Eduardo","Cultura",2
"Comandante de Civrieux","Revista Moderna. (Enciclopedia colombiana)",1
"Consuegra, Manuel S.","La Gruta",1
"Contreras, Francisco","Cultura",1
"Cooke, John Esten","Revista Literaria. Publicación Mensual",1
"Coppée, François","Lectura Amena",1
"Coppée, François","Revista Literaria. Publicación Mensual",1
"Coppée, François","Revista Moderna. (Enciclopedia colombiana)",1
"Coradine, Alberto","Cultura",11
"Cordovez Moure, José María","Revista Literaria. Publicación Mensual",2
"Cordovez Moure, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Corral, Jesús M. del","Cultura",1
"Corral, Jesús M. del","El Montañés",1
"Corral, Jesús M. del","El Repertorio. Revista Mensual Ilustrada",3
"Corral, Jesús M. del","Lectura Amena",1
"Corral, M. Antonio del","La Bohemia Alegre",1
"Correa, Ramón","Alpha",1
"Creta, Ruy de","Alpha",1
"Cruz, Efraím de la","Alpha",2
"Cruz, Jorge de la ","Alpha",4
"Cuervo Márquez, Carlos","Revista Moderna. (Enciclopedia colombiana)",5
"Cuervo Márquez, Emilio","Alpha",1
"Cuervo Márquez, Emilio","Revista Moderna. (Enciclopedia colombiana)",8
"Cuervo, Luis Augusto","Cultura",7
"Cuervo, Luis Augusto","Revista Moderna. (Enciclopedia colombiana)",1
"Cuervo, Rufino José","Revista Contemporánea",1
"Cuervo, Rufino José","Trofeos",2
"Cuéllar Durán, Zoilo","Revista Literaria. Publicación Mensual",1
"Céspedes, Ángel María","Cultura",3
"Céspedes, Ángel María","Trofeos",3
"Cólogan y Cólogan, Bernardo Jacinto de ","Revista Literaria. Publicación Mensual",1
"D'Annunzio, Gabriele","La Gruta",1
"D'Annunzio, Gabriele","Lectura Amena",4
"D'Annunzio, Gabriele","Lectura y Arte",2
"D'Annunzio, Gabriele","Revista Contemporánea",3
"D'Annunzio, Gabriele","Trofeos",3
"D'Avenel, Vizconde","Revista Moderna. (Enciclopedia colombiana)",1
"D'Enjoÿ, Paul","Lectura Amena",1
"D'Hervilly, Ernest ","Revista Literaria. Publicación Mensual",1
"D'Ors, Eugenio","Cultura",1
"D'Ors, Eugenio","Lectura Amena",1
"D'Ors, Eugenio","Panida",1
"D'Ors, Eugenio","Revista Moderna. (Enciclopedia colombiana)",2
"Dahlgren, E.N.","Revista Moderna. (Enciclopedia colombiana)",1
"Darío, Rubén","Alpha",1
"Darío, Rubén","Lectura Amena",6
"Darío, Rubén","Panida",5
"Darío, Rubén","Revista Contemporánea",1
"Darío, Rubén","Revista Moderna. (Enciclopedia colombiana)",1
"Darío, Rubén","Trofeos",1
"Daudet, Alphonse","Lectura Amena",2
"Daudet, Alphonse","Revista Literaria. Publicación Mensual",1
"Davray, Henry-D.","Trofeos",1
"Delgado, Jorge E.","Alpha",1
"Deslys, Charles","Revista Literaria. Publicación Mensual",3
"Desroix, Jacques","Trofeos",1
"Dicenta, Joaquín","Lectura Amena",8
"Diuribía, Marcel","La Bohemia Alegre",1
"Donato Navarro, Manuel","Lectura Amena",2
"Dumas, Joël","Trofeos",1
"Duque Uribe, Rafael","Alpha",1
"Duque Uribe, Rafael","La Gruta",1
"Duque Uribe, Rafael","Revista Contemporánea",10
"Duque Uribe, Rafael","Trofeos",3
"Duque, Antonio de J.","El Repertorio. Revista Mensual Ilustrada",2
"Dymón","El Repertorio. Revista Mensual Ilustrada",1
"Déubel, Leon","Alpha",1
"Díaz Guerra, Alirio","Revista Literaria. Publicación Mensual",1
"Díaz Rodríguez, Manuel ","Revista Moderna. (Enciclopedia colombiana)",1
"Díaz Romero, Eugenio","Revista Contemporánea",2
"Díaz del Castillo, Ildefonso","Revista Literaria. Publicación Mensual",1
"Díaz, Leopoldo","Lectura Amena",1
"Díaz, Leopoldo","Panida",1
"Díaz, Leopoldo","Revista Literaria. Publicación Mensual",1
"Díaz, Leopoldo","Trofeos",3
"Díaz, Pedro Pablo","Alpha",1
"Díez Canedo, Enrique","Panida",1
"Díez Canedo, Manuel","Revista Moderna. (Enciclopedia colombiana)",1
"EDOS","La Gruta",1
"Eastman, Tomás Oziel","Alpha",2
"Eastman, Tomás Oziel","Cultura",1
"Echagüe, Francisco","Lectura Amena",1
"Echavarría Vélez, Liborio","Lectura Amena",1
