source,target,weigth
"Bobadilla, Emilio",Alma Española,10
"Bobadilla, Emilio",El Nuevo Mercurio,2
"Bobadilla, Emilio",Lectura Amena,1
"Bocquet, León",Trofeos,1
"Boex, Joseph-Henry-Honoré",Revista Azul,1
"Boex, Séraphin-Justin-François",Revista Azul,1
"Bohemia, Juan de",La Gruta,1
"Boissier y Díaz, Carlos Alberto",Revista Azul,1
"Boixet i Castells, Ezequiel",Revista Literaria. Publicación Mensual,1
"Bolet Peraza, Nicanor",Revista Azul,16
"Bolet, C. C.",Revista Azul,1
"Bolívar, Rafael",Revista Azul,2
"Bolívar, Simón",El Montañés,1
"Bolívar, Simón",Revista Moderna. (Enciclopedia colombiana),1
"Bonafoux y Quintero, Luis",Alma Española,4
"Bonafoux y Quintero, Luis",El Nuevo Mercurio,1
"Bonafoux y Quintero, Luis",Revista Azul,1
"Bonaparte, Napoléon",Alma Española,1
Bonefoie,Luz i Sombra,9
"Bonilla, Manuel Antonio",Alpha,2
"Bonis, J. M.",Lectura Amena,1
"Bonnard, Abel",Revista Moderna. (Enciclopedia colombiana),1
"Bonnefon, Jean de",Vida Nueva,1
"Borda, Francisco de Paula",Revista Contemporánea,1
"Borda, José Joaquín",Revista Literaria. Publicación Mensual,2
"Borgia, I. de",Instantáneas,1
"Borglum, Solon Hannibal",Alma Española,4
"Borras, Enrique",Gente Vieja,1
"Borrero Echeverría, Esteban",La Habana Literaria,2
"Borrero, Juana",La Habana Literaria,1
"Borrero, Juana",Revista Azul,5
"Botero Guerra, Camilo",Alpha,1
"Botero Guerra, Camilo",El Montañés,1
"Botero Guerra, Camilo",El Repertorio. Revista Mensual Ilustrada,2
"Botero Guerra, Camilo",Lectura Amena,2
"Botero Ruiz, Juan José",El Repertorio. Revista Mensual Ilustrada,2
"Botero Ruiz, Juan José",Lectura y Arte,1
"Botero, Manuel E.",El Montañés,3
"Botta, Anne C. Lynch",Revista Azul,1
"Bouchaud, Pierre de",Revista Nueva Spain,1
"Bouet, Carlos",Revista Literaria. Publicación Mensual,1
"Bouret, Alonso",Lectura Amena,1
"Bourget, Paul",El Repertorio. Revista Mensual Ilustrada,1
"Bourget, Paul",Germinal,1
"Bourget, Paul",Lectura Amena,1
"Bourget, Paul",Lectura y Arte,1
"Bourget, Paul",Revista Azul,25
"Boza, Luis Roberto",Luz i Sombra,3
"Bozo Valenzuela, Carlos",Instantáneas,7
"Bozo Valenzuela, Julio",Instantáneas,10
