Source,Target,Type,Id,Label,Weight
La Vida Literaria,"Bargiela, Camilo",Directed,4121,,5
Luz,"Bargiela, Camilo",Directed,4122,,1
Revista Nueva Spain,"Bargiela, Camilo",Directed,4123,,1
La Vida Literaria,"Barinaga, Pedro de",Directed,4124,,1
Germinal,"Bark, Ernesto",Directed,4125,,33
Vida Nueva,"Bark, Ernesto",Directed,4126,,1
Alma Española,"Baroja, Pío",Directed,4127,,4
Arte Joven,"Baroja, Pío",Directed,4128,,2
Germinal,"Baroja, Pío",Directed,4129,,1
La Vida Literaria,"Baroja, Pío",Directed,4130,,1
Revista Nueva Spain,"Baroja, Pío",Directed,4131,,11
Alma Española,"Baroja, Ricardo",Directed,4132,,10
Arte Joven,"Baroja, Ricardo",Directed,4133,,6
Instantáneas,"Barra, Eduardo de la",Directed,4134,,2
Arte Joven,"Barrantes, Pedro",Directed,4135,,2
Alma Española,"Barrat, E.",Directed,4136,,2
Luz i Sombra,"Barreda, Octavio",Directed,4137,,1
Revista Azul,"Barreda, Octavio",Directed,4138,,3
Revista Azul,"Barrera, Luis G.",Directed,4139,,2
Revista Moderna. (Enciclopedia colombiana),"Barreto, José María",Directed,4140,,1
Trofeos,"Barriga Paez, J.",Directed,4141,,1
Alma Española,"Barriobero y Herrán, Eduardo",Directed,4142,,1
Instantáneas,"Barros Méndez, Luis",Directed,4143,,1
Alma Española,"Barroso, Manuel M.",Directed,4144,,1
Alpha,"Barrès, Maurice",Directed,4145,,2
Trofeos,"Barrès, Maurice",Directed,4146,,2
El Nuevo Mercurio,"Barrés, Maurice",Directed,4147,,1
Gente Vieja,"Barthe, Luis",Directed,4148,,3
El Repertorio. Revista Mensual Ilustrada,"Bartrina, Joaquín María",Directed,4149,,1
Germinal,"Bartrina, Joaquín María",Directed,4150,,3
Alpha,"Barzini, Luigi",Directed,4151,,1
Luz,"Barán, A. L. de",Directed,4152,,10
Revista Moderna. (Enciclopedia colombiana),"Barón, Felipe",Directed,4153,,2
Gente Vieja,"Bascaran, José de",Directed,4154,,1
