Source,Target,Type,Id,Label,Weight,n
Alpha,"Latorre, Gabriel",Directed,595,,2,2
El Montañés,"Latorre, Gabriel",Directed,596,,8,8
Lectura y Arte,"Latorre, Gabriel",Directed,597,,3,3
Revista Literaria. Publicación Mensual,"Laverde Amaya, Isidoro",Directed,598,,77,77
Revista Moderna. (Enciclopedia colombiana),"Laverde Liévano, Manuel",Directed,599,,1,1
Revista Literaria. Publicación Mensual,"Le Blond, M.",Directed,600,,1,1
Revista Literaria. Publicación Mensual,"Le Moyne, Arnaud Auguste Hilaire",Directed,601,,3,3
Revista Literaria. Publicación Mensual,"Legouvé, Ernest",Directed,602,,1,1
CULTURA,"Lemaître, Jules",Directed,603,,1,1
Revista Literaria. Publicación Mensual,"Lemly, Henry Rowan",Directed,604,,2,2
Trofeos,"Leopardi, Giacomo",Directed,605,,1,1
El Montañés,"León Gómez, Adolfo",Directed,606,,2,2
La Gruta,"León Gómez, Adolfo",Directed,607,,2,2
Lectura Amena,"León Gómez, Adolfo",Directed,608,,1,1
Lectura y Arte,"León Gómez, Adolfo",Directed,609,,1,1
Trofeos,"Lipparini, Giuseppe",Directed,610,,1,1
Lectura Amena,"Lisle, Leconte de",Directed,611,,2,2
Lectura Amena,"Lizardo, Pedro",Directed,612,,1,1
CULTURA,"Liévano, Roberto",Directed,613,,2,2
Revista Literaria. Publicación Mensual,"Llanos, Luis de",Directed,614,,1,1
La Gruta,"Lleras A., Alfredo",Directed,615,,2,2
Revista Moderna. (Enciclopedia colombiana),"Lleras Codazzi, Ricardo",Directed,616,,1,1
La Bohemia Alegre,"Londoño, Pedro P.",Directed,617,,4,4
Alpha,"Londoño, Víctor Manuel",Directed,618,,1,1
La Gruta,"Londoño, Víctor Manuel",Directed,619,,3,3
Lectura Amena,"Londoño, Víctor Manuel",Directed,620,,1,1
Lectura y Arte,"Londoño, Víctor Manuel",Directed,621,,1,1
Revista Contemporánea,"Londoño, Víctor Manuel",Directed,622,,4,4
Trofeos,"Londoño, Víctor Manuel",Directed,623,,25,25
Revista Literaria. Publicación Mensual,"Longfellow, Henry Wadsworth",Directed,624,,1,1
Revista Moderna. (Enciclopedia colombiana),"Lorenzana, Máximo",Directed,625,,1,1
Alpha,"Loti, Pierre",Directed,626,,1,1
Alpha,"Louÿs, Pierre",Directed,627,,1,1
Trofeos,"Louÿs, Pierre",Directed,628,,1,1
CULTURA,"Lozano y Lozano, Fabio",Directed,629,,6,6
Revista Moderna. (Enciclopedia colombiana),"Lozano y Lozano, Fabio",Directed,630,,2,2
Lectura Amena,"Lozano, Alberto",Directed,631,,1,1
Lectura y Arte,"Lugo, Silvio",Directed,632,,1,1
Revista Moderna. (Enciclopedia colombiana),"Lugones, Leopoldo",Directed,633,,1,1
Revista Literaria. Publicación Mensual,"López Iriarte, E.",Directed,634,,1,1
El Montañés,"López Lapuya, Isidoro",Directed,635,,1,1
La Bohemia Alegre,"López Penha, Abraham Zacarías",Directed,636,,1,1
CULTURA,"López de Mesa, Luis",Directed,637,,36,36
Alpha,"López, Alejandro",Directed,638,,2,2
El Montañés,"López, Alejandro",Directed,639,,1,1
CULTURA,"López, Ismael",Directed,640,,2,2
La Gruta,"López, Ismael",Directed,641,,10,10
Revista Contemporánea,"López, Ismael",Directed,642,,2,2
Revista Moderna. (Enciclopedia colombiana),"López, Ismael",Directed,643,,5,5
Trofeos,"López, Ismael",Directed,644,,19,19
La Gruta,"López, Samuel",Directed,645,,1,1
Trofeos,"Machado, Gonzalo",Directed,646,,1,1
Lectura y Arte,"Machado, Manuel",Directed,647,,2,2
Panida,"Machado, Manuel",Directed,648,,1,1
Alpha,"Maeterlinck, Maurice",Directed,649,,3,3
CULTURA,"Maeterlinck, Maurice",Directed,650,,1,1
Revista Contemporánea,"Magallanes Moure, Manuel",Directed,651,,1,1
Revista Moderna. (Enciclopedia colombiana),"Maizeroy, René",Directed,652,,2,2
Revista Literaria. Publicación Mensual,"Mallarino, Julio D.",Directed,653,,1,1
Panida,"Mallarmé, Stéphane",Directed,654,,1,1
Revista Contemporánea,"Mallarmé, Stéphane",Directed,655,,1,1
Revista Contemporánea,"Manrique, Juan E.",Directed,656,,1,1
La Gruta,"Manrique, Pedro Carlos",Directed,657,,1,1
Alpha,"Maragall, Juan",Directed,658,,1,1
Alpha,"Marquina, Eduardo",Directed,659,,1,1
Lectura Amena,"Marquina, Eduardo",Directed,660,,1,1
Panida,"Marquina, Eduardo",Directed,661,,1,1
Revista Literaria. Publicación Mensual,"Marquina, Pedro",Directed,662,,1,1
Revista Literaria. Publicación Mensual,"Marroquín, José Manuel",Directed,663,,2,2
La Bohemia Alegre,"Martel, L.",Directed,664,,1,1
Revista Literaria. Publicación Mensual,"Martín Mateos, Nicomedes",Directed,665,,1,1
Trofeos,"Martínez Rivas, Federico",Directed,666,,1,1
