NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Trofeos,172,Anónimo,Creador,NA,NA,NA,8,25/03/07,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA,Transferencia: promoción de libros de varios autores
Trofeos,173,Anónimo,Creador,NA,NA,"Libros publicados por la imprenta de ""La cruz""",8,25/03/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,"Transferencia: lista de libros publicados por la imprenta de ""La Luz"""
Trofeos,174,Anónimo,Creador,NA,NA,Trofeos,9,01/05/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,Sumario e información de la revista
Trofeos,175,"Grillo, Maximiliano",Creador,Max Grillo,Colombia,El hombre de hierro,9,01/05/07,No,NA,Español,NA,Prosa No ficción,NA,Camacho Roldán. Joaquín,NA,05/05/23,269-274,Transferencia: comentario crítico sobre libro de autor extranjero
Trofeos,176,"Velásquez Botero, Samuel",Creador,NA,Colombia,La duquesa,9,01/05/07,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,5,274-279,NA
Trofeos,177,"Wilde, Oscar",Creador,NA,Irlanda,La casa del Juez (de Oscar Wilde),9,01/05/07,Sí,"Lucerna, Salvador",Español,Inglés,Poesía,NA,"López, Ismael",NA,02/02/23,279-281,Transferencia: traducción
Trofeos,178,"Escobar Sarmiento, Ricardo",Creador,Delio Seravile,Colombia,El entierro del enterrador,9,01/05/07,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,281,NA
Trofeos,179,"Sánchez, Alberto",Creador,NA,Colombia,En Santafé,9,01/05/07,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,282,NA
Trofeos,180,"Carvajal, M.A.",Creador,M.A. Carvajal,Colombia,Laude,9,01/05/07,No,NA,Español,NA,Poesía,NA,NA,NA,0.8,282-283,NA
Trofeos,181,"Céspedes, Ángel María",Creador,NA,Colombia,Floresta,9,01/05/07,No,NA,Español,NA,Poesía,NA,NA,NA,01/08/23,283-284,NA
Trofeos,182,"López, Ismael",Director,NA,Colombia,Congresos Internacionales americanos,9,01/05/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/05/23,285-286,NA
Trofeos,183,"Londoño, Víctor Manuel",Director,NA,Colombia,Pages Choisies. León Bloy,9,01/05/07,Sí,NA,Español,Francés,Prosa No ficción,NA,NA,NA,02/03/23,286-288,Transferencias: traducción
Trofeos,184,"Barrès, Maurice",Creador,NA,Francia,Las plegarias que no se confunden,9,01/05/07,Sí,NA,Español,Francés,Prosa Ficción,Capítulo de libro,NA,NA,03/07/23,288-292,Transferencias: traducción
Trofeos,185,"Londoño, Víctor Manuel",Director,V.M.L.,Colombia,Notas marginales,9,01/05/07,No,NA,Español,NA,Prosa No ficción,Notas marginales,NA,NA,3,292-295,Transferencia: cometario crítico sobre literatura
